Name,Comments,Production_Years,Number Produced_Sold,Top Speed_Text
Baker Electric,"One of the earliest electric cars. Reputedly easy to drive.","1899-1915","5000","14 miles per hour (23 km/h)"
Detroit Electric,"Sold mainly to women and physicians.","1907-1939","5000","20 miles per hour (32 km/h)"
Henney Kilowatt,The first ,"1958-1960","50","60 miles per hour (97 km/h)"
Peugeot 106 Électrique,Built by ,"1995-2003","6400","90 kilometres per hour (56 mph)"
General Motors EV1,"For lease only, all recovered from customers by GM, most destroyed.","1996-2003","2000","80 miles per hour (129 km/h)"
Honda EV Plus,First BEV from a major automaker without lead acid batteries. Twenty-four 12-volt ,"1997-1999","350","80 miles per hour (129 km/h)"
Toyota RAV4 EV,"Some leased and sold on US east and west coasts, supported. Toyota agreed to stop crushing.","1997-2002","1249","125 kilometres per hour (78 mph)"
Nissan Altra EV,Mid-sized ,"1998-2000","140","75 miles per hour (121 km/h)"
Global Electric Motorcars,NEV,"1998-","50,000 through October 2015.","25 miles per hour (40 km/h)"
TH!NK City,"Two seat, ","1999-2002","1005","90 kilometres per hour (56 mph)"
REVAi,Indian-built ,"2001-2012","2000","45 miles per hour (72 km/h)"
ZAP Xebra,Chinese built ,"2006-","200","40 miles per hour (64 km/h)"
Modec,"UK built trucks and Vans","2007-","100",""
Cleanova,French built delivery vans ,"",7000,""
Smart fortwo ED,"micro car, only used for pilot project","2008","100","120 kilometres per hour (75 mph)"
Tesla Roadster (2008),Sold to customers in the United States and Europe.,"2008-2012","2,350",130 miles per hour (209 km/h) 
Mitsubishi i MiEV,"Fleet leasing began in July 2009,","2009-","32,000","80 miles per hour (129 km/h)"
Nissan Leaf,Introduced in Japan and the U.S. in December 2010.,"2010-","240,000 by September 2016","150 km/h (93 mph)"
Tesla Model S,"Introduced in the U.S. in June 2012.","2012-","150,000 by November 2016","155 mph (249 km/h)"
Tesla Model X,"Unveiled in February 2012","2015-","16,024 through September 2016.","155 mph (249 km/h)"
Renault Zoe,Introduced in France in December 2012.,"2012-","50,000 by July 2016.",""
BMW i3,Introduced in the Germany in November 2013.,"2013-","60,000 by November 2016",""
Kia Soul EV,"","2014-","10,210 as of January 2016",""
Volkswagen e-Golf,"","2014-","19,000 as of December 2015",""
Tesla Model 3,"","2017-","28,500 as of June 2018","140 mph (230 km/h)"
Baker Electric,"One of the earliest electric cars. Reputedly easy to drive.","1899-1915","5000","14 miles per hour (23 km/h)"
Detroit Electric,"Sold mainly to women and physicians.","1907-1939","5000","20 miles per hour (32 km/h)"
Henney Kilowatt,The first ,"1958-1960","50","60 miles per hour (97 km/h)"
Peugeot 106 Électrique,Built by ,"1995-2003","6400","90 kilometres per hour (56 mph)"
General Motors EV1,"For lease only, all recovered from customers by GM, most destroyed.","1996-2003","2000","80 miles per hour (129 km/h)"
Honda EV Plus,First BEV from a major automaker without lead acid batteries. Twenty-four 12-volt ,"1997-1999","350","80 miles per hour (129 km/h)"
Toyota RAV4 EV,"Some leased and sold on US east and west coasts, supported. Toyota agreed to stop crushing.","1997-2002","1249","125 kilometres per hour (78 mph)"
Nissan Altra EV,Mid-sized ,"1998-2000","140","75 miles per hour (121 km/h)"
Global Electric Motorcars,NEV,"1998-","50,000 through October 2015.","25 miles per hour (40 km/h)"
TH!NK City,"Two seat, ","1999-2002","1005","90 kilometres per hour (56 mph)"
REVAi,Indian-built ,"2001-2012","2000","45 miles per hour (72 km/h)"
ZAP Xebra,Chinese built ,"2006-","200","40 miles per hour (64 km/h)"
Modec,"UK built trucks and Vans","2007-","100",""
Cleanova,French built delivery vans ,"",7000,""
Smart fortwo ED,"micro car, only used for pilot project","2008","100","120 kilometres per hour (75 mph)"
Tesla Roadster (2008),Sold to customers in the United States and Europe.,"2008-2012","2,350",130 miles per hour (209 km/h) 
Mitsubishi i MiEV,"Fleet leasing began in July 2009,","2009-","32,000","80 miles per hour (129 km/h)"
Nissan Leaf,Introduced in Japan and the U.S. in December 2010.,"2010-","240,000 by September 2016","150 km/h (93 mph)"
Tesla Model S,"Introduced in the U.S. in June 2012.","2012-","150,000 by November 2016","155 mph (249 km/h)"
Tesla Model X,"Unveiled in February 2012","2015-","16,024 through September 2016.","155 mph (249 km/h)"
Renault Zoe,Introduced in France in December 2012.,"2012-","50,000 by July 2016.",""
BMW i3,Introduced in the Germany in November 2013.,"2013-","60,000 by November 2016",""
Kia Soul EV,"","2014-","10,210 as of January 2016",""
Volkswagen e-Golf,"","2014-","19,000 as of December 2015",""
Tesla Model 3,"","2017-","28,500 as of June 2018","140 mph (230 km/h)"
